"","ssrm","hsr","ssr","ha","sa","sy","d"
"1",0.1,1,0.1,0,0.1,0.1,0.35
"2",0.1,1,0.1,0,0.1,0.2,0.25
"3",0.1,1,0.1,0,0.1,0.2,0.4
"4",0.1,1,0.1,0,0.1,0.3,0.45
"5",0.1,1,0.1,0,0.1,0.4,0.3
"6",0.1,1,0.1,0,0.2,0.1,0.35
"7",0.1,1,0.1,0,0.2,0.2,0.25
"8",0.1,1,0.1,0,0.2,0.2,0.4
"9",0.1,1,0.1,0,0.2,0.3,0.45
"10",0.1,1,0.1,0,0.2,0.4,0.3
"11",0.1,1,0.1,0,0.3,0.1,0.35
"12",0.1,1,0.1,0,0.3,0.2,0.25
"13",0.1,1,0.1,0,0.3,0.2,0.4
"14",0.1,1,0.1,0,0.3,0.3,0.45
"15",0.1,1,0.1,0,0.3,0.4,0.3
"16",0.1,1,0.1,0,0.4,0.1,0.35
"17",0.1,1,0.1,0,0.4,0.2,0.25
"18",0.1,1,0.1,0,0.4,0.2,0.4
"19",0.1,1,0.1,0,0.4,0.3,0.45
"20",0.1,1,0.1,0,0.4,0.4,0.3
"21",0.1,1,0.1,0,0.5,0.1,0.35
"22",0.1,1,0.1,0,0.5,0.2,0.25
"23",0.1,1,0.1,0,0.5,0.2,0.4
"24",0.1,1,0.1,0,0.5,0.3,0.45
"25",0.1,1,0.1,0,0.5,0.4,0.3
"26",0.1,1,0.1,0,0.6,0.1,0.35
"27",0.1,1,0.1,0,0.6,0.2,0.25
"28",0.1,1,0.1,0,0.6,0.2,0.4
"29",0.1,1,0.1,0,0.6,0.3,0.45
"30",0.1,1,0.1,0,0.6,0.4,0.3
"31",0.1,1,0.1,0,0.7,0.1,0.35
"32",0.1,1,0.1,0,0.7,0.2,0.25
"33",0.1,1,0.1,0,0.7,0.2,0.4
"34",0.1,1,0.1,0,0.7,0.3,0.45
"35",0.1,1,0.1,0,0.7,0.4,0.3
"36",0.1,1,0.1,0,0.8,0.1,0.35
"37",0.1,1,0.1,0,0.8,0.2,0.25
"38",0.1,1,0.1,0,0.8,0.2,0.4
"39",0.1,1,0.1,0,0.8,0.3,0.45
"40",0.1,1,0.1,0,0.8,0.4,0.3
"41",0.1,1,0.1,0,0.9,0.1,0.35
"42",0.1,1,0.1,0,0.9,0.2,0.25
"43",0.1,1,0.1,0,0.9,0.2,0.4
"44",0.1,1,0.1,0,0.9,0.3,0.45
"45",0.1,1,0.1,0,0.9,0.4,0.3
"46",0.1,1,0.1,0,0,0.1,0.35
"47",0.1,1,0.1,0,0,0.2,0.25
"48",0.1,1,0.1,0,0,0.2,0.4
"49",0.1,1,0.1,0,0,0.3,0.45
"50",0.1,1,0.1,0,0,0.4,0.3
"51",0.1,1,0.1,0,1,0.1,0.35
"52",0.1,1,0.1,0,1,0.2,0.25
"53",0.1,1,0.1,0,1,0.2,0.4
"54",0.1,1,0.1,0,1,0.3,0.45
"55",0.1,1,0.1,0,1,0.4,0.3
"56",0.1,1,0.2,0,0.1,0.1,0.4
"57",0.1,1,0.2,0,0.1,0.2,0.35
"58",0.1,1,0.2,0,0.1,0.2,0.45
"59",0.1,1,0.2,0,0.1,0.3,0.35
"60",0.1,1,0.2,0,0.1,0.3,0.5
"61",0.1,1,0.2,0,0.1,0.4,0.35
"62",0.1,1,0.2,0,0.1,0.5,0.35
"63",0.1,1,0.2,0,0.1,0.6,0.35
"64",0.1,1,0.2,0,0.2,0.1,0.4
"65",0.1,1,0.2,0,0.2,0.2,0.35
"66",0.1,1,0.2,0,0.2,0.2,0.45
"67",0.1,1,0.2,0,0.2,0.3,0.35
"68",0.1,1,0.2,0,0.2,0.3,0.5
"69",0.1,1,0.2,0,0.2,0.4,0.35
"70",0.1,1,0.2,0,0.2,0.5,0.35
"71",0.1,1,0.2,0,0.2,0.6,0.35
"72",0.1,1,0.2,0,0.3,0.1,0.4
"73",0.1,1,0.2,0,0.3,0.2,0.35
"74",0.1,1,0.2,0,0.3,0.2,0.45
"75",0.1,1,0.2,0,0.3,0.3,0.35
"76",0.1,1,0.2,0,0.3,0.3,0.5
"77",0.1,1,0.2,0,0.3,0.4,0.35
"78",0.1,1,0.2,0,0.3,0.5,0.35
"79",0.1,1,0.2,0,0.3,0.6,0.35
"80",0.1,1,0.2,0,0.4,0.1,0.4
"81",0.1,1,0.2,0,0.4,0.2,0.35
"82",0.1,1,0.2,0,0.4,0.2,0.45
"83",0.1,1,0.2,0,0.4,0.3,0.35
"84",0.1,1,0.2,0,0.4,0.3,0.5
"85",0.1,1,0.2,0,0.4,0.4,0.35
"86",0.1,1,0.2,0,0.4,0.5,0.35
"87",0.1,1,0.2,0,0.4,0.6,0.35
"88",0.1,1,0.2,0,0.5,0.1,0.4
"89",0.1,1,0.2,0,0.5,0.2,0.35
"90",0.1,1,0.2,0,0.5,0.2,0.45
"91",0.1,1,0.2,0,0.5,0.3,0.35
"92",0.1,1,0.2,0,0.5,0.3,0.5
"93",0.1,1,0.2,0,0.5,0.4,0.35
"94",0.1,1,0.2,0,0.5,0.5,0.35
"95",0.1,1,0.2,0,0.5,0.6,0.35
"96",0.1,1,0.2,0,0.6,0.1,0.4
"97",0.1,1,0.2,0,0.6,0.2,0.35
"98",0.1,1,0.2,0,0.6,0.2,0.45
